"Title","DateNonConformite","NoProjet","Departement","Responsable","Non-Conformite","Description","EnvoiMail","AjoutMesureCorrective","Correction","DateCorrection","Confirmation"
"47","2022-06-15","220132","Ventes","Daniel Doré","Erreur de prix","Manque les frais de livraison et les mesures
","Oui","Non",,,"Oui"
"48","2022-06-15","220134","Ventes","Daniel Doré","Erreur de prix","manque 1 frais de descente en verre et frais de mesure","Oui","Non",,,"Oui"
"49","2022-06-15","220521","Ventes","Daniel Doré","Erreur de prix","Commande avec transport client, manque frais de palette lourd car verre 12mm","Oui","Non",,,"Oui"
"50","2022-06-21","220280","Production","Production","Erreur hauteur","2 sections assemblées pas en bonne hauteur","Oui","Non",,,"Oui"
"51","2022-06-22","220279","Production","Production","Equerres","Main continu avec équerre 90 degré pour section droite et descente","Oui","Non",,,"Oui"
"52","2022-06-23","220265","Production","Catherine Denis","Quincaillerie manquante","Manque la quincaillerie de la barrière sur le plan","Oui","Non",,,"Oui"
"53","2022-06-27","220558","Ventes","Daniel Doré","Erreur code","installation minimum entré dans le code INS-Beton chargé à 300.00 au lieu de INSMIN à 350.00","Oui","Non",,,"Oui"
"54","2022-06-27","220565","Ventes","Daniel Doré","Erreur de produit","manque la main double sur la commande ainsi que 2 poteaux de 3''","Oui","Non",,,"Oui"
"55","2022-06-27","220563","Ventes","Daniel Doré","Erreur de produit","manque la main double dans la commande","Oui","Non",,,"Oui"
"56","2022-06-28","220556","Ventes","Guy Drolet","Installation","Manque installation 2 barrières","Oui","Non",,,"Oui"
"57","2022-06-29","220373","Production","Production","Quincaillerie manquante","Manque les caches-vis","Oui","Non",,,"Oui"
"58","2022-06-30","220409","Production","Catherine Denis","Erreur produit","Sur les plan oublié de mettre main double continue","Oui","Non",,,"Oui"
"59","2022-07-04","220409","Production","Catherine Denis","Quincaillerie manquante","Manque les pieds et les vis pour les bases à barrotins","Oui","Non",,,"Oui"
"60","2022-07-04","220046","Mesures","Mesureurs","Mauvaise mesure de section","2 section sur 4 ne fonctionne pas","Oui","Non",,,"Oui"
"61","2022-07-05","220370","Mesures","Mesureurs","Mauvaise mesure de section","1 section trop courte","Oui","Non",,,"Oui"
"62","2022-07-07","220271","Mesures","Mesureurs","Mauvaise mesure de section","1section trop longue hors tout de 131 3/4 au lieur de 137 3/4","Oui","Non",,,"Oui"
"63","2022-07-07","220097","Production","Production","verre monter à l'envers","les verres des murs intimités sont montés à l'envers","Oui","Non",,,"Oui"
"64","2022-07-08","220327","Mesures","Mesureurs","Mauvaise mesure de section","Les descentes ne fonctionne pas","Oui","Non",,,"Oui"
"65","2022-07-11","220583","Ventes","Daniel Doré","Erreur code","Gardex vision mais vendu gardex vision optimum","Oui","Non",,,"Oui"
"66","2022-07-12","220134","Production","Production","Erreur étiquetage","Il manque les étiquettes pour les poteaux","Oui","Non",,,"Oui"
"67","2022-07-12","220565","Production","Production","Erreur étiquetage","Il maque les étiquettes pour les poteaux","Oui","Non",,,"Oui"
"68","2022-07-19","220457","Mesures","Mesureurs","Mauvaise mesure de section","section de 23 5/16 trop longue, doit couper au chantier et si le client n'accepte pas on devra refaire les 2 sections","Oui","Non",,,"Oui"
"70","2022-07-20","220026","Mesures","Mesureurs","Mauvaise mesure de section","erreur de positionnement de la rampe avant droite","Oui","Non",,,"Oui"
"71","2022-08-11","220308","Mesures","Mesureurs","Mauvaise mesure de section","Les mesures n'ont pas été prise en fonction de la poutre pour installation des colonnes","Oui","Non",,,"Oui"
"72","2022-08-11","220402","Production","Production","Quincaillerie manquante","Manque les caps des poteaux 1 3/4","Oui","Non",,,"Oui"
"73","2022-08-11","220402","Mesures","Production","Erreur Pente","les pentes sont erronnées","Oui","Non",,,"Oui"
"74","2022-08-12","220526","Mesures","Mesureurs","Erreur Pente","Pente pas bonne nous avons couper des poteaux qu'il a fallu ralonger au chantier","Oui","Non",,,"Oui"
"75","2022-08-11","220308","Installation","Installateurs","Installation","Section avec des barrotins courbés installées à l'envers","Oui","Non",,,"Oui"
"76","2022-08-15","220524","Ventes","Daniel Doré","Erreur Couleur","Rampes noir sur la commande mais les capages sur place sont Brun Commercial","Oui","Non",,,"Oui"
"77","2022-08-17","220738","Ventes","Daniel Doré","Erreur de prix","Manque 4 frais de descente en verre","Oui","Non",,,"Oui"
"78","2022-08-22","220755","Ventes","Daniel Doré","Commande","Le client demande hauteur 42'' sauf 1 section de 12 5/8'' en 36 mais dans la commande tout est en 36''","Oui","Non",,,"Oui"
"79","2022-08-24","220736","Ventes","Daniel Doré","Produit","manque la barrière dans la commande. Dossier redonné","Oui","Non",,,"Oui"
"80","2022-08-24","220758","Ventes","Martin Boiteau","Infaisabilité","Impossible à produire un fibre en ''V'' de 243'' x 244'' doit être fait en plus de 1 morceau. Donc ajout de plaque joint et joint de fibre de verre.
Retourné dossier au vendeur pour refaire la vente. Voir aussi ce qu'on entend par fascia....","Oui","Non",,,"Oui"
"81","2022-08-24","220080","Installation","Installateurs","Installation","Cache-vis non installés trouvé dans l'usine","Oui","Non",,,"Oui"
"82","2022-08-25","220057","Commande","Nadine Giguère","Commande","Commandé 1 verre de la même grandeur que la section.","Oui","Non",,,"Oui"
"83","2022-08-26","220765","Ventes","Daniel Doré","Erreur de quantité","Descente en verre de 85'' manque 1 poteau et 2 frais de descente ","Oui","Non",,,"Oui"
"84","2022-08-29","220792","Ventes","Martin Boiteau","Décharge","Oublier d'inscrire sur la commande qu'il se peut que l'on brise en démanchant Cache-vis certain et que nous ne pouvons être tenu responsable.","Oui","Non",,,"Oui"
"85","2022-08-30","220746","Ventes","Daniel Doré","Erreur de quantité","Suite à la prise de mesures, il manque 1 poteau 1-3/4'' sur la commande","Oui","Non",,,"Oui"
"86","2022-08-30","220597","MEP","Catherine Denis","Erreur dessin","Demande d'un Aqualatch dans la commande mais non inscrit au plan","Oui","Non",,,"Oui"
"87","2022-08-31","220803","Ventes","Daniel Doré","Kilométrage","Job à 73 kilomètre sans extra pour prise de mesure et installation","Oui","Non",,,"Oui"
"88","2022-09-01","220387","Ventes","Daniel Doré","Erreur de produit","Balcon à plus de 5' du sol donc les rampes doivent être en 42''","Oui","Non",,,"Oui"
"89","2022-09-01","220492-2","Production","Production","Mauvaise mesure de coupe","main continu inscrit sur plan 105,285 mais fabriqué 107 1/4","Oui","Non",,,"Oui"
"90","2022-09-01","220812","Ventes","Guy Drolet","Erreur de prix","Barrière en mur intimité 72'' vendu barrière 42''. Manque couleur marche de fibre.","Oui","Non",,,"Oui"
"91","2022-09-08","220391","Commande","Nadine Giguère","Commande","Suite de la première phase et je n'ai pas été voir la hauteur des verres de la phase 1 recommander 4 verres","Oui","Non",,,"Oui"
"92","2022-09-12","220829","Ventes","Martin Boiteau","Erreur de produit","vente d'un seul poteau mais pas utiliser le bon code PO1H36BL/UNITE","Oui","Non",,,"Oui"
"93","2022-09-14","220858","Ventes","Daniel Doré","Erreur de produit","Dossier initiale vendu et fabriqué en 42'' de haut mais cette commande est en 36''","Oui","Non",,,"Oui"
"94","2022-09-19","220862","Ventes","Daniel Doré","Erreur de quantité","Livraison marche de fibre quantité 9 à 75.00$ total de 675.00$","Oui","Non",,,"Oui"
"95","2022-09-19","220876","Ventes","Daniel Doré","Produit","Manque installation main-double 58 pieds","Oui","Non",,,"Oui"
"96","2022-09-19","220788","Commande","Nadine Giguère","Commande","Commander le fibre couleur Fusain mais s'était Granite Fusain","Oui","Non",,,"Oui"
"97","2022-09-19","220876","Ventes","Daniel Doré","Installation","manque installation barrière","Oui","Non",,,"Oui"
"98","2022-09-26","220905","Ventes","Daniel Doré","Produit","Job de verre par transporteur manque frais de palette","Oui","Non",,,"Oui"
"99","2022-09-29","220618","Ventes","Daniel Doré","Installation","Manque installation limons, marches et rampes","Oui","Non",,,"Oui"
"100","2022-09-29","220695","Production","Production","Mauvaise mesure de coupe","descente en mur intimité la partie du haut est trop longue","Oui","Non",,,"Oui"
"101","2022-09-29","220899","MEP","Catherine Denis","Erreur dessin","Ligne de la contre-Marche pour délimiter le haut du bas à la mauvaise place","Oui","Non",,,"Oui"
"102","2022-09-29","220899","Production","Production","Erreur de quantité","Main manquante","Oui","Non",,,"Oui"
"103","2022-09-29","220435","Production","Production","Mauvaise mesure de coupe","Cache-vis de a main double plus courte que la track","Oui","Non",,,"Oui"
"104","2022-09-29","220435","MEP","Catherine Denis","Erreur dessin","Les cotes de dégagements n'ont pas été transcrit sur le plan","Oui","Non",,,"Oui"
"105","2022-09-29","220435","Mesures","Mesureurs","Mauvaise mesure de section","Section de 7-3/4 modifié à 5-5/16","Oui","Non",,,"Oui"
"106","2022-09-29","210162","Mesures","Mesureurs","Erreur Pente","Pente mal évalué sur une descente, on doit refaire les poteaux","Oui","Non",,,"Oui"
"107","2022-09-29","220798","Mesures","Mesureurs","Hauteur section","la barrière n'a pas été enlever dans la dimension totale","Oui","Non",,,"Oui"
"108","2022-10-03","220492","Mesures","Mesureurs","Mauvaise mesure de section","changement sur le positionnement de la descente, on doit changer la dimension d'une section de verre.","Oui","Non",,,"Oui"
"109","2022-10-03","220928","Ventes","Daniel Doré","Erreur de produit","Rampes en verre mais descente en barrotins mais tout vendu en barrotins","Oui","Non",,,"Oui"
"110","2022-10-03","220925","Mesures","Mesureurs","Mauvaise mesure de section","erreur de mesure de section avec barrière","Oui","Non",,,"Oui"
"111","2022-10-03","220695","Production","Production","Produit endommagé","Main égratignée.","Oui","Non",,,"Oui"
"112","2022-10-03","220695","Production","Production","Mauvaise mesure de coupe","track du haut sur mur intimité spécial pas la bonne longeur (mesure sur plan non-respecté)","Oui","Non",,,"Oui"
"113","2022-10-03","220695","Ventes","Guy Drolet","mauvaise entente avec client","Barrière installé en l'envers (spa non-prévu par la prise de mesure)","Oui","Non",,,"Oui"
"114","2022-10-03","220937","Ventes","Daniel Doré","Erreur de produit","seulement 3 poteaux de de 3'' x 72'' pas vendu dans le code/UNITE","Oui","Non",,,"Oui"
"114","2022-10-03","220925","Mesures","Mesureurs","mauvaise entente avec client","Poteau existant calculé enlevé par le client (erreur mesure barrière)","Oui","Non",,,"Oui"
"115","2022-10-03","220939","Ventes","Daniel Doré","Installation","installation de la main murale 10.5' non chargé en installation","Oui","Non",,,"Oui"
"116","2022-10-03","220817","Production","Production","Section manquante","il manque une section de 9 1/2 (pas faite)","Oui","Non",,,"Oui"
"117","2022-10-05","220917","Ventes","Daniel Doré","Erreur de produit","balcon avec rampes en verre mais descente en main seule parcontre dans la commande on charge du barrotins. Redonner dossier au vendeur.","Oui","Non",,,"Oui"
"118","2022-10-07","220869","Production","Catherine Denis","Couleur","Mur intimité commandé blanc mais sur le plan la couleur n'a pa été changé elle est resté noir","Oui","Non",,,"Oui"
"119","2022-10-08","220945","Ventes","Daniel Doré","information dessin","mauvaise entente sur les dessins avec le client","Oui","Non",,,"Oui"
"120","2022-10-11","220894","Ventes","Guy Drolet","Erreur Couleur","PFT est en train d'installer et la cliente leur dit que la rampes doit être Noir et non Argile","Oui","Non",,,"Oui"
"121","2022-10-13","220878","Mesures","Mesureurs","Mauvaise mesure de section","Section 11'' trop courte","Oui","Non",,,"Oui"
"122","2022-10-13","220658","Mesures","Mesureurs","Hauteur section","Section installer sur le côté mal évalué sur le degré et la hauteur du perçage allongé","Oui","Non",,,"Oui"
"123","2022-10-13","220732","Mesures","Mesureurs","Mauvaise mesure de section","Espace de 5'' entre deux sections ","Oui","Non",,,"Oui"
"124","2022-10-13","9223","Mesures","Mesureurs","Mauvaise identification du dégagement","Point de départ spécial de la section demandé par le client pas identifier sur le plan, les installateurs ont appliqué notre standard.","Oui","Non",,,"Oui"
"125","2022-10-13","220749","Ventes","Martin Boiteau","mauvaise entente avec client","Section d'une barrière à gond demandé du mauvais côté","Oui","Non",,,"Oui"
"126","2022-10-19","220987","Ventes","Daniel Doré","Produit manquant","Manque 2 frais de descentes en verre","Oui","Non",,,"Oui"
"127","2022-10-20","220961","Ventes","Martin Boiteau","Note manquante","Note de la garantie de l'installation de la barrière enlevé.
","Oui","Non",,,"Oui"
"128","2022-10-20","220985","Ventes","Daniel Doré","Erreur de quantité","chargé 22.5 pieds de mur intimité mais la quantité est de 50.5 pieds redonner dossier dans la case pour modif.","Oui","Non",,,"Oui"
"129","2022-10-25","220467-3","Mesures","Mesureurs","Mauvaise mesure de section","Le client nous demande de refaire 3 sections plus longue.","Oui","Non",,,"Oui"
"130","2022-10-26",,"Installation","Installateurs","Point de départ non-respecté","Point de départ pas au bon endroit en fonction de la barrière et des angles","Oui","Non",,,"Oui"
"131","2022-10-26","220921","Ventes","Daniel Doré","Produit","Descente en verre 10mm sans main sans aucune dérogation","Oui","Non",,,"Oui"
"132","2022-10-27","221004","Ventes","Daniel Doré","Erreur de prix","Projet installé par le client nous devons aller changer 2 poteaux vendu dans le code de poteau normale et installation mnimum à 175.00$ tandis que nos 2 hommes nous coutent 152.34$. Aucune note inscrite si c'est notre erreur ou celle du client.","Oui","Non",,,"Oui"
"133","2022-10-27","220957","Ventes","Daniel Doré","Règlementation","vendu 6 marches de 65 3/4 avec seulement 1 set de limon. Je crois que pour la longueur ça en prend 2 set de 2 limons.
Redonner dossier à Daniel","Oui","Non",,,"Oui"
"134","2022-10-27","220955","Production","Production","Oublier de donner produit","1 paquet de main continue pas donné au client (Réjean)","Oui","Non",,,"Oui"
"135","2022-10-31","221013","Ventes","Daniel Doré","Erreur Couleur","Au plan on demande Anodisé Naturel mais sur la commande c'est noir et aucune note que la couleur a changé. À revoir s.v.p","Oui","Non",,,"Oui"
"136","2022-10-31","220820","Mesures","Mesureurs","Erreur Pente","Le client mentionne que les poteaux n'ont pas la bonne pente. Il faut en couper 3 et en ralonger 1","Oui","Non",,,"Oui"
"137","2022-11-02","221019","Ventes","Daniel Doré","Produit manquant","Gardex vision optimum il manque les attaches entre les verres. Dossier retourné à Daniel","Oui","Non",,,"Oui"
"138","2022-11-03","220420","Ventes","Martin Boiteau","Pas prêt à mesurer","Les marches ne sont pas décoffrer et les colonnes ne sont pas installés. Redonner dossier à Martin","Oui","Non",,,"Oui"
"139","2022-11-04","220881","Mesures","Mesureurs","Mauvaise mesure de section","section du côté qui va au mur trop courte","Oui","Non",,,"Oui"
"140","2022-11-10","220895","Mesures","Mesureurs","Hauteur section","Oublier de déduire 1 poteau","Oui","Non",,,"Oui"
"141","2022-11-14","221049","Ventes","Daniel Doré","Erreur de quantité","Gardex vision vendu 1 pied sur la commande mais la quantité est de 3.
Redonner dossier à Daniel","Oui","Non",,,"Oui"
"142","2022-11-16","221061","Ventes","Daniel Doré","Erreur de quantité","Dans la commande vendu 1 poteau 1-3/4 mais il en a 12....
Je redonne le dossier à Daniel ","Oui","Non",,,"Oui"
"143","2022-11-22","221020","Production","Production","Couleur","Nous avons livrer des cap et touch up noir tandis que les rampes sont de couleur charbon","Oui","Non",,,"Oui"
"144","2022-11-28","221080","Ventes","Daniel Doré","Produit manquant","Descente en 48'' il devrait y avoir en ajout une main murale car non r`glementaire sinon avoir une dérogation","Oui","Non",,,"Oui"
"145","2022-11-28","220856","Mesures","Mesureurs","Erreur de mesures","Le dessin des descentes ont été faites avec les données de contre-marche et marche. Parcontre la marche de 10 3/4'' est sur un giron de 9'' donc un nez de 1-3/4'' qui n'a pas été mentionné. Donc les 2 verres sont trop long.","Oui","Non",,,"Oui"
"146","2022-11-28","220718","Mesures","Mesureurs","Erreur de mesures","Le dessin de descente a été faite avec les données de contre-marche et marche. Parcontre la marche de 10 3/4'' est sur un giron de 9'' donc un nez de 1-3/4'' qui n'a pas été mentionné. Donc le verre est trop long.","Oui","Non",,,"Oui"
"147","2022-11-30","210112","Ventes","Daniel Doré","Erreur de quantité","Demande de correction fait mais la quantité de poteaux n'est toujours pas bonne. Je fais la correction car nous devons facturer pour l'inventaire","Oui","Non",,,"Oui"
"148","2023-01-26","221084","Ventes","Guy Drolet","mauvaise entente avec client","Nous avons commandé 3 colonnes mais lors de l'installation les 3 colonnes étaient en place","Oui","Non",,,"Oui"
"149","2023-01-30","220735-8-S1","Production","Production","Section manquante","La production a oublié de faire 2 sections de 52 7/8 tel qu'indiqué au plan","Oui","Non",,,"Oui"
"150","2023-02-01","221042","Production","Jocelyn Larouche","Erreur dessin","les nouveaux dessins de verre n'ont pas été mis dans le dossier vertuel et les anciens nont pas été supprimé","Oui","Non",,,"Oui"
"151","2023-02-01","230045","Ventes","Daniel Doré","Erreur Couleur","2 sections à faire mais de couleurs différente","Oui","Non",,,"Oui"
"152","2023-02-09","230062","Ventes","Guy Drolet","Installation","installation 10' de rampes vendu à 155.00$. Installation minimum est à 350.00$. ","Oui","Non",,,"Oui"
"153","2023-02-21","230073","Ventes","Guy Drolet","Produit manquant","Il manque la moulure de départ pour le plancher d'aluminium. Attention délais pour le plancher allu minimum un 4 à 6 semaines","Oui","Non",,,"Oui"
"154","2023-03-27","230129","Ventes","Daniel Doré","Produit manquant","Manque installation Barrière","Oui","Non",,,"Oui"
"155","2023-03-29","230053","Mesures","Mesureurs","Erreur de mesures","Erreur de mesure de hauteur il manque 1 contre-marche","Oui","Non",,,"Oui"
"156","2023-03-29","230057","MEP","Nadine Giguère","Erreur dessin","Barrière 1'' trop grande erreur dans le calcul de déduction des poteaux. Elle sera coupé sur place.","Oui","Non",,,"Oui"
"157","2023-03-29","230068","Production","Production","Mauvaise mesure de coupe","Section de 31 7/8'' demandé au plan mais fabriqué à 37 7/8''. Section coupé sur place.","Oui","Non",,,"Oui"
"158","2023-03-30","230008-3","Commande","Nadine Giguère","Commande","Erreur de commande dans la dimension des verres oublier de déduire 3''. Ces mauvais verres seront utilier dans le Capella","Oui","Non",,,"Oui"
"159","2023-04-24","230205","Ventes","Daniel Doré","Kilométrage","Projet èa 76km aucun extra de chargé pour la prise de mesure et l'installation","Oui","Non",,,"Oui"
"160","2023-04-25","221035","Ventes","Daniel Doré","Erreur de quantité","Gardex vision, nous avons 5 sections et seulement 10 attaches de vendu au client au lieu de 20. Nous devons facturer tel quel car projet vendu 08-11-2022.","Oui","Non",,,"Oui"
"162","2023-04-26","220826","Mesures","Mesureurs","Erreur de mesures","mauvaise dimension de barrotins 4 x 102 mais requis 107","Oui","Non",,,"Oui"
"163","2023-04-27","230030","Production","Production","Erreur hauteur","Section demandé en 42'' de haut mais fait en 48'' de haut","Oui","Non",,,"Oui"
"164","2023-05-03","220911","Production","Production","Mauvaise mesure de coupe","les mains et cache-vis des descente de 41'' sont trop longue. ont du etre recoupé sur place mais une de brisé à refaire","Oui","Non",,,"Oui"
"165","2023-05-02","230094","Production","Production","Oublier de donner produit","1 mur intiité fixé sur le poteau existant du client la barre d'alluminium du haut pas donné donc partie du haut non installé","Oui","Non",,,"Oui"
"168","2023-05-03","220199","Ventes","Daniel Doré","Commande","modification fait sur la commande mais pas sur le plan du mesureur donc nous avons commandé du verre qui était changé en barrotins","Oui","Non",,,"Oui"
"169","2023-05-05","230257","Ventes","Daniel Doré","Erreur de produit","seulement 2 poteaux sur la commande mais le code n'est pas poteau vendu seul.","Oui","Non",,,"Oui"
"170","2023-05-16","230277","Ventes","Daniel Doré","Kilométrage","installation minimum de chargé projet à 49 km aucun extra pour le 9 kilomètres supp.","Oui","Non",,,"Oui"
"171","2023-05-16","230186","Ventes","Martin Boiteau","Produit manquant","les colonnes de bois sont traité et on doit mettre une membrane avant de les capper. Faturer tel que oubli du vendeur.","Oui","Non",,,"Oui"
"172","2023-05-17","230010","Mesures","Mesureurs","Erreur de mesures","Refaire 5 sections trop courte","Oui","Non",,,"Oui"
"173","2023-05-17","230010","Production","Production","poteau percé","poteau de coin car percé face à face","Oui","Non",,,"Oui"
"174","2023-05-18","230307","Ventes","Guy Drolet","Produit manquant","manque installation barrière.","Oui","Non",,,"Oui"
"175","2023-05-19","230330","Ventes","Daniel Doré","Produit manquant","Manque installation main double","Oui","Non",,,"Oui"
"177","2023-05-23","230310","Ventes","Daniel Doré","Kilométrage","vendu installation minimum à 350.00$ sans surcharge de kilomètrage après le 40 km. Job à 54 km et aucune charge de livraison.","Oui","Non",,,"Oui"
"178","2023-05-25","230290","Production","Production","Erreur produit","Poteaux de 1-3/4 mais dans la quincaillerie cap de poteau 3''","Oui","Non",,,"Oui"
"179","2023-05-25","230294","Production","Production","Quincaillerie manquante","quincaillerie pas fait dans ce projet","Oui","Non",,,"Oui"
"180","2023-05-29","230325","Ventes","Daniel Doré","Commande","Projet en 2 phases inscrit sur la commande au Lac St-Joseph
Seulement 1 prise de mesure","Oui","Non",,,"Oui"
