"Title","Fournisseur","Adresse_Fournisseur","CodePostal_Fournisseur","Ville_Fournisseur","Province_Fournisseur","Pays_Fournisseur","Telephone_Fournisseur","Fax_Fournisseur","Contact_Fournisseur","Email_Fournisseur","Transport_Fournisseur"
"28","Matériaux Bomat inc.","1212 Chemin Industriel","G7A 1B1","Lévis","QC","Canada","418-831-4848","418-831-3849",,,
"29","Metra Aluminium Inc.","2070 Boulevard Fortin","H7S 1P3","Laval","QC","Canada","450-629-4260","450-629-4227",,,
"30","Palettes Pal Bois","1013 Chemin Industriel","G7A 1B3","Lévis","QC","Canada","418-831-1117","418-831-7101",,,
"31","Peak Toolworks","3020, 95e rue","G6A 1K8","St-Georges Est","QC","Canada","1-888-270-2248","418-228-7503",,,
"32","Peinture Industrielle DJ Inc","847, rue de la Briqueterie","G7A 2N2","Lévis","QC","Canada","418-831-1169",,,"info@pidj.ca",
"33","Les Produits Aluminium PS inc.","8055 avenue Marco−Polo","H1E 5Y8","Montréal","QC","Canada","1-800-361-1026","514-648-9335",,,
"34","Royal Solution de bâtiment","2395 Avenue Watt","G1P 3X2","Québec","QC","Canada","418-653-6655","418-653-7033",,,
"35","Série act peinture inc.","1984, rue Setlakwe","G6G 8B2","Thetford Mines","QC","Canada","418-338-4126","418-338-6506",,,
"36","SM Tech","48 rue du Bon-Accueil","G6J 1B2","Lévis","QC","Canada","418-559-4182",,,,
"37","Vitrerie Lepage","930, RUE RAOUL JOBIN","G1N 1S9","Québec","QC","Canada","418-681-6393","418-687-5557",,"info@vitrerielepage.com",
"38","Rembourrage d'auto Daigle inc.","520, rue Laurier","G0S 2E0","St-Apollinaire","QC","Canada","418-881-3058","418-881-3108",,,
"39","Boulet Lemelin",,,,,,,,,,
"40","Aimé Champagne","2186, Route Lagueux","G7A 1A7","Lévis","Québec","Canada","418-831-9960","418-831-9358",,,
"41","Gem Product","140 Industrial Loop W","FL 32073","Orange Park","FL","États-Unis",,,,,
"42","Lee Valley","31B-1600, boulevard Le Corbusier","H7S 1Y9","Laval","Québec","Canada","450-978-3003",,,,
"43","Travail jeunesse","8890, boulevard Guillaume -Couture","G6V 9H1","Lévis","QC","Canada","418-838-7182",,"Sébastien Samson","sebastiensamson@travailjeunesse.ca",
"44","RICHELIEU","7900 HENRI-BOURASSA",,"MONTREAL",,,"1-866-375-1943",,"JOSEPH GAGLIANO",,
"45","Aluminium PS",,,,,,,,"Pierre Denis","pdenis@psaluminium.com",
"46","Metal Work","No.26 Jiulongyuan Avenue",,"Jiulongpo District","Chongqing","Chine",,,"Judith","judith-h@jhmetalwork.com",
